/Users/helena/metadata_exp/exp1groupAsub10,Task #1,119,24,6,15,13,2,2,2,0.6666667
/Users/helena/metadata_exp/exp1groupAsub10,Task #2,146,25,5,16,11,2,4,4,0.3846154
/Users/helena/metadata_exp/exp1groupAsub10,Task #3,164,31,6,16,11,2,6,6,0.3529412
/Users/helena/metadata_exp/exp1groupAsub10,Task #4,263,79,11,16,12,1,8,8,0.47826087
/Users/helena/metadata_exp/exp1groupAsub10,Task #5,318,92,15,16,12,1,12,12,0.48387095
/Users/helena/metadata_exp/exp1groupAsub10,Task #6 - Complemento,402,119,19,16,12,1,16,16,0.46341464
/Users/helena/metadata_exp/exp1groupAsub10,Task #7,425,123,22,20,13,1,18,18,0.44
/Users/helena/metadata_exp/exp1groupAsub10,Task #8,463,129,24,21,15,1,20,20,0.4
/Users/helena/metadata_exp/exp1groupAsub10,Task #9,523,148,24,26,17,1,20,20,0.36923078
/Users/helena/metadata_exp/exp1groupAsub10,Task #10,576,162,26,26,17,1,22,22,0.36619717
/Users/helena/metadata_exp/exp1groupAsub5,Task 1,85,16,4,13,10,1,1,1,0.44444445
/Users/helena/metadata_exp/exp1groupAsub5,Task 2,136,23,5,13,10,1,3,3,0.3846154
/Users/helena/metadata_exp/exp1groupAsub5,Task 3,144,27,6,13,10,1,4,4,0.3529412
/Users/helena/metadata_exp/exp1groupAsub5,Task 4,194,48,7,13,10,1,6,6,0.3043478
/Users/helena/metadata_exp/exp1groupAsub5,Task 5,235,63,9,13,10,1,10,10,0.29032257
/Users/helena/metadata_exp/exp1groupAsub5,Task 6,277,87,11,13,10,1,14,14,0.2682927
/Users/helena/metadata_exp/exp1groupAsub5,Task 7,299,91,13,13,10,1,16,16,0.26
/Users/helena/metadata_exp/exp1groupAsub5,Task 8,329,97,15,14,12,1,18,18,0.25
/Users/helena/metadata_exp/exp1groupAsub5,Task 9,359,118,15,14,12,1,18,18,0.23076923
/Users/helena/metadata_exp/exp1groupAsub5,Task 10,409,123,19,14,15,5,23,22,0.2638889
/Users/helena/metadata_exp/exp1groupAsub7,Task 1,112,20,6,13,13,2,2,2,0.6666667
/Users/helena/metadata_exp/exp1groupAsub7,Task 2,167,34,8,19,15,2,4,4,0.61538464
/Users/helena/metadata_exp/exp1groupAsub7,Task 3,194,40,9,23,16,4,6,6,0.5294118
/Users/helena/metadata_exp/exp1groupAsub7,Task 4,233,50,11,23,16,4,8,8,0.45833334
/Users/helena/metadata_exp/exp1groupAsub7,Task 5,338,60,16,43,27,7,12,12,0.4848485
/Users/helena/metadata_exp/exp1groupAsub7,Task 6,412,70,18,43,27,7,16,16,0.41860464
/Users/helena/metadata_exp/exp1groupAsub7,Task 7,462,79,19,59,29,12,18,18,0.3653846
/Users/helena/metadata_exp/exp1groupAsub7,Task 8,523,92,22,82,34,13,20,20,0.3548387
/Users/helena/metadata_exp/exp1groupAsub7,Task 9,564,99,22,97,36,13,20,20,0.3283582
/Users/helena/metadata_exp/exp1groupAsub7,Task 10,813,145,95,66,52,12,36,36,1.0674157
/Users/helena/metadata_exp/exp1groupAsub9,Task 1,103,20,4,15,12,2,2,2,0.44444445
/Users/helena/metadata_exp/exp1groupAsub9,Task 2,218,46,17,24,27,6,10,6,1.0
/Users/helena/metadata_exp/exp1groupAsub9,Task 3,276,57,24,30,30,7,15,9,1.0909091
/Users/helena/metadata_exp/exp1groupAsub9,Task 4,377,74,31,33,33,9,20,12,1.0689656
/Users/helena/metadata_exp/exp1groupAsub9,Task 5,472,92,45,34,39,12,30,18,1.1538461
/Users/helena/metadata_exp/exp1groupAsub9,Task 6,558,114,59,22,36,16,32,24,1.1568627
/Users/helena/metadata_exp/exp1groupAsub9,Task 7,597,119,67,25,39,16,36,27,1.0983607
/Users/helena/metadata_exp/exp1groupAsub9,Task 8,681,114,59,19,41,26,38,29,0.8309859
/Users/helena/metadata_exp/exp1groupAsub9,Task 9,725,125,59,21,45,29,38,29,0.7763158
/Users/helena/metadata_exp/exp1groupAsub9,Task 10,765,131,56,21,47,30,52,42,0.67469877
/Users/helena/metadata_exp/exp1groupBsub10,Task 1,127,22,7,17,16,4,8,8,0.7
/Users/helena/metadata_exp/exp1groupBsub10,Task 2,200,36,10,26,22,7,14,14,0.6666667
/Users/helena/metadata_exp/exp1groupBsub10,Task 3,263,50,12,44,26,9,17,17,0.6315789
/Users/helena/metadata_exp/exp1groupBsub10,Task 4,375,74,16,68,34,13,24,24,0.61538464
/Users/helena/metadata_exp/exp1groupBsub10,Task 5,465,94,20,163,44,18,35,35,0.5882353
/Users/helena/metadata_exp/exp1groupBsub10,Task 6,562,113,24,258,54,23,46,46,0.54545456
/Users/helena/metadata_exp/exp1groupBsub10,Task 7,682,124,38,279,62,28,67,66,0.6785714
/Users/helena/metadata_exp/exp1groupBsub10,Task 8,816,151,44,312,72,32,76,75,0.6567164
/Users/helena/metadata_exp/exp1groupBsub10,Task 9,1034,182,56,374,80,38,86,83,0.7368421
/Users/helena/metadata_exp/exp1groupBsub10,Task 10,1105,207,60,421,90,43,95,92,0.72289157
/Users/helena/metadata_exp/exp1groupBsub11,Task 1,138,21,6,24,18,5,10,10,0.6
/Users/helena/metadata_exp/exp1groupBsub11,Task 2,191,38,8,62,25,7,14,14,0.5714286
/Users/helena/metadata_exp/exp1groupBsub11,Task 3,210,43,9,81,27,8,17,17,0.5
/Users/helena/metadata_exp/exp1groupBsub11,Task 4,261,59,10,137,32,10,21,21,0.41666666
/Users/helena/metadata_exp/exp1groupBsub11,Task 5,352,79,14,339,43,15,34,34,0.4375
