/Users/helena/metadata_exp/exp1groupAsub10,Task #1,119,24,6,15,13,2,2,2
/Users/helena/metadata_exp/exp1groupAsub10,Task #2,146,25,5,16,11,2,4,4
/Users/helena/metadata_exp/exp1groupAsub10,Task #3,164,31,6,16,11,2,6,6
/Users/helena/metadata_exp/exp1groupAsub10,Task #4,263,79,11,16,12,1,8,8
/Users/helena/metadata_exp/exp1groupAsub10,Task #5,318,92,15,16,12,1,12,12
/Users/helena/metadata_exp/exp1groupAsub10,Task #6 - Complemento,402,119,19,16,12,1,16,16
/Users/helena/metadata_exp/exp1groupAsub10,Task #7,425,123,22,20,13,1,18,18
/Users/helena/metadata_exp/exp1groupAsub10,Task #8,463,129,24,21,15,1,20,20
/Users/helena/metadata_exp/exp1groupAsub10,Task #9,523,148,24,26,17,1,20,20
/Users/helena/metadata_exp/exp1groupAsub10,Task #10,576,162,26,26,17,1,22,22
/Users/helena/metadata_exp/exp1groupAsub5,Task 1,85,16,4,13,10,1,1,1
/Users/helena/metadata_exp/exp1groupAsub5,Task 2,136,23,5,13,10,1,3,3
/Users/helena/metadata_exp/exp1groupAsub5,Task 3,144,27,6,13,10,1,4,4
/Users/helena/metadata_exp/exp1groupAsub5,Task 4,194,48,7,13,10,1,6,6
/Users/helena/metadata_exp/exp1groupAsub5,Task 5,235,63,9,13,10,1,10,10
/Users/helena/metadata_exp/exp1groupAsub5,Task 6,277,87,11,13,10,1,14,14
/Users/helena/metadata_exp/exp1groupAsub5,Task 7,299,91,13,13,10,1,16,16
/Users/helena/metadata_exp/exp1groupAsub5,Task 8,329,97,15,14,12,1,18,18
/Users/helena/metadata_exp/exp1groupAsub5,Task 9,359,118,15,14,12,1,18,18
/Users/helena/metadata_exp/exp1groupAsub5,Task 10,409,123,19,14,15,5,23,22
/Users/helena/metadata_exp/exp1groupAsub7,Task 1,112,20,6,13,13,2,2,2
/Users/helena/metadata_exp/exp1groupAsub7,Task 2,167,34,8,19,15,2,4,4
/Users/helena/metadata_exp/exp1groupAsub7,Task 3,194,40,9,23,16,4,6,6
/Users/helena/metadata_exp/exp1groupAsub7,Task 4,233,50,11,23,16,4,8,8
/Users/helena/metadata_exp/exp1groupAsub7,Task 5,338,60,16,43,27,7,12,12
/Users/helena/metadata_exp/exp1groupAsub7,Task 6,412,70,18,43,27,7,16,16
/Users/helena/metadata_exp/exp1groupAsub7,Task 7,462,79,19,59,29,12,18,18
/Users/helena/metadata_exp/exp1groupAsub7,Task 8,523,92,22,82,34,13,20,20
/Users/helena/metadata_exp/exp1groupAsub7,Task 9,564,99,22,97,36,13,20,20
/Users/helena/metadata_exp/exp1groupAsub7,Task 10,813,145,95,66,52,12,36,36
/Users/helena/metadata_exp/exp1groupAsub8,Task1,168,35,9,26,22,3,2,2
