/home/home/git/exp1groupBsub5,Task 1,140,25,13,17,16,0
/home/home/git/exp1groupBsub5,Task 2,212,47,19,29,23,0
/home/home/git/exp1groupBsub5,Task 3,304,78,26,55,30,0
/home/home/git/exp1groupBsub5,Task 4,402,107,33,72,36,0
/home/home/git/exp1groupBsub5,Task 5,525,135,45,125,50,0
/home/home/git/exp1groupBsub5,Task 6,681,172,59,197,67,0
/home/home/git/exp1groupBsub5,Task 7,756,188,64,256,74,0
/home/home/git/exp1groupBsub5,Task 9,860,218,69,329,81,0
/home/home/git/exp1groupBsub5,Task 10,959,240,75,394,90,3
/home/home/git/exp1groupBsub5,Task 8,1031,261,78,394,90,3
/home/home/git/exp1groupAsub8,Task1,158,39,9,26,22,0
/home/home/git/exp1groupAsub8,Task2,278,75,15,42,35,0
/home/home/git/exp1groupAsub8,Task3,433,123,21,68,52,0
/home/home/git/exp1groupAsub8,Task4,598,173,27,103,71,0
/home/home/git/exp1groupAsub8,Task5,762,224,34,141,89,0
/home/home/git/exp1groupAsub8,Task6,949,282,41,186,108,2
/home/home/git/exp1groupAsub8,Task7,1196,362,50,248,130,2
/home/home/git/exp1groupAsub8,Task8,1355,411,59,280,147,2
/home/home/git/exp1groupAsub8,Task9 complement,1499,455,64,298,161,2
/home/home/git/exp1groupAsub8,Task10,1673,502,71,325,177,2
/home/home/git/exp1groupAsub7,Task 1,102,21,6,13,13,2
/home/home/git/exp1groupAsub7,Task 2,147,41,8,19,15,2
/home/home/git/exp1groupAsub7,Task 3,164,48,9,23,16,4
/home/home/git/exp1groupAsub7,Task 4,193,62,11,23,16,4
/home/home/git/exp1groupAsub7,Task 5,277,78,16,43,27,3
/home/home/git/exp1groupAsub7,Task 6,330,94,18,43,27,3
/home/home/git/exp1groupAsub7,Task 7,371,106,19,59,29,7
/home/home/git/exp1groupAsub7,Task 8,420,123,22,82,34,7
/home/home/git/exp1groupAsub7,Task 9,461,135,22,97,36,7
/home/home/git/exp1groupAsub7,Task 10,700,191,95,66,52,4
/home/home/git/exp1groupBsub9,Task 1 (complete),169,36,16,26,22,3
/home/home/git/exp1groupBsub9,Task 2,269,63,25,65,33,4
/home/home/git/exp1groupBsub9,Task 3,284,69,27,72,35,4
/home/home/git/exp1groupBsub9,Task 4,383,104,34,96,43,3
/home/home/git/exp1groupBsub9,Task 5,457,126,40,192,55,3
